Integral Diff,Integral,TRANSITION,GATE,m,q,mean,sigma,amplitude
0 , 1283.4341557054329 , 3661.363 , 1141.1 , 0.696500770814397 , -2535.0467985115147 , 3660.8927755586246 , 2.0997886343869068 , 244.89998217904557
-276 , 0 , 2504.39 , 1141.1 , 0 , 0 , 0 , 0 , 0
0 , 416.7246377503728 , 1777.973 , 1141.1 , -5.114595577619751 , 9159.90928950884 , 1777.02012308783 , 0.950350476208653 , 174.93449152844352
0 , 9456.190245423066 , 3661.363 , 1222.5 , -7.097428896538723 , 26047.645533288443 , 3661.2772443270815 , 1.739957958102911 , 2169.56667574073
0 , 1354.8581158298134 , 2504.39 , 1222.5 , -4.149072592971448 , 10440.594724267889 , 2504.455908232519 , 1.2885160069194854 , 419.4863629289678
0 , 4841.230485994693 , 1777.973 , 1222.5 , -1.3101785713640035 , 2401.2778396445424 , 1777.7411369754964 , 1.2347123206717345 , 1564.2440410263941
0 , 1776.2111899336692 , 3661.363 , 1635 , -1.3572046669498636 , 5004.732378310134 , 3661.284001999023 , 1.7751507800943465 , 399.51659304006034
0 , 219.5469523044215 , 2504.39 , 1635 , -2.7106771824888294 , 6837.740084994891 , 2504.3672395040007 , 1.0572024311993573 , 82.84748847224324
0 , 1331.5351070633747 , 1777.973 , 1635 , -7.068237882434481 , 12617.502680691037 , 1777.7386878402278 , 1.421282334692457 , 373.7913762341067
0 , 1116.0976975267251 , 3661.363 , 1839.7 , -0.8425305085730307 , 3082.6712128161416 , 3661.4644415128423 , 2.052674500543923 , 217.8572969259039
-279 , 0 , 2504.39 , 1839.7 , 0 , 0 , 0 , 0 , 0
0 , 542.8230462786314 , 1777.973 , 1839.7 , 4.3190997535077855 , -7689.192786354332 , 1777.4346957694802 , 1.4184888968088307 , 152.67312851722673
0 , 247.18832961171123 , 3661.363 , 2071.7 , -3.4711666634671903 , 12733.46649083613 , 3661.7049363799624 , 1.4435754128547327 , 68.32071042259919
-246 , 0 , 2504.39 , 2071.7 , 0 , 0 , 0 , 0 , 0
0 , 122.03439933930075 , 1777.973 , 2071.7 , 1.3682671585415234 , -2395.539621931923 , 1777.4841058426941 , 0.7082240437663824 , 68.7419214136418
0 , 212.96654173054378 , 3661.363 , 7468.6 , -0.022017372136153048 , 82.40170858546539 , 3661.187073722074 , 1.5568760475214485 , 54.578767857369996
0 , 52.25254637456436 , 2504.39 , 7468.6 , 0.34215489592573917 , -852.6672905266406 , 2503.616035010248 , 1.357522566871166 , 15.356019919945318
0 , 128.77004673111747 , 1777.973 , 7468.6 , -0.5216058219577243 , 925.2240265135816 , 1777.849069106691 , 1.2527730307901113 , 41.00728957908311
0 , 3131.5084609336473 , 3661.363 , 747.63 , -11.523209765696182 , 42172.6956370518 , 3661.3991262657773 , 1.945690915186507 , 643.6902995642959
-1 , 1129.7640765303117 , 2504.39 , 747.63 , -11.446231018194158 , 28594.01764053623 , 2505.9465194170502 , 2.207819949626036 , 211.18392572497348
0 , 1348.7414966373312 , 1777.973 , 747.63 , -2.099031050717812 , 3759.5804492957063 , 1777.549138196036 , 1.4517037166595113 , 370.6806086885486
-1 , 4168.535678456949 , 3661.363 , 891.1 , -19.281451596114962 , 70545.8991561189 , 3661.480930884131 , 2.0269198466181915 , 823.6955674920013
-2 , 2420.3144029544187 , 2504.39 , 891.1 , -8.447516570020904 , 21056.074352051975 , 2505.3894739746897 , 2.8578926494072494 , 358.73937606332396
0 , 2053.84055559196 , 1777.973 , 891.1 , -8.245582294521952 , 14720.494298363505 , 1777.274544729686 , 1.4404052886210177 , 568.8663553443229
-2 , 5333.651955896467 , 3661.363 , 989 , -17.193367822608806 , 62967.22504409464 , 3661.3319848070073 , 2.135962026959204 , 1001.6949115526862
0 , 642.8332916425495 , 2504.39 , 989 , 3.9795687525473054 , -9833.243169904013 , 2505.106335756994 , 1.148415294644005 , 223.312931717136
0 , 2800.1630848691248 , 1777.973 , 989 , -16.6377500246297 , 29809.86699970396 , 1776.941934956845 , 2.0290285040122904 , 552.2826938494443
